1 29 3.067470673558349 750.2769637077507 572.5020050377856 1121.8830456374385 875.83655109254 1.615405797958374 2.2149407863616943 4.523248195648193 7.62617695613044 0.23457908819972423 -1.0450482381184563 0.04337195307016373 [796, 557] [1062, 558] [1061, 751] [795, 752] [691, 581] [1181, 582] [1179, 936] [690, 939]
1 31 3.561135107585489 1295.6212384257483 600.8171201946585 1763.8342825574678 870.1275696051208 1.5186728079416651 2.104976970218756 4.569127957061207 7.193219901862389 -3.5896225612576296 -1.2028868323564121 0.04332774467752603 [1279, 589] [1540, 595] [1537, 786] [1275, 781] [1616, 626] [2116, 636] [2111, 1005] [1610, 1000]
1 32 2.602082036841198 106.04916066265497 565.4276141128474 597.0228477615478 911.331214744116 1.712150123982994 2.1236619208025185 4.498645152128859 6.365700447290556 3.5157489508423527 -1.0025016118743226 0.03490658503988683 [330, 554] [623, 556] [621, 791] [327, 790] [-316, 548] [297, 551] [290, 1037] [-327, 1040]
1 33 3.3513576027382177 1137.216822039955 567.7050228130425 1368.4398254873213 713.0916209054018 1.6760526650477003 2.125413731950142 4.6 13.738888795644483 -3.2150075614235374 -1.2438274355991834 0.020106559294250148 [1127, 562] [1285, 564] [1284, 689] [1126, 687] [1200, 567] [1421, 570] [1419, 745] [1198, 742]
1 34 2.871567436766809 528.237150331653 557.8161721336978 771.870389042594 728.9326145551347 1.8499767886696075 2.1620488218201532 4.6 12.883940679243233 3.4453266594961 -1.0958815814101424 0.008726646259971648 [615, 546] [784, 546] [783, 691] [614, 690] [467, 539] [708, 540] [706, 748] [464, 746]
1 35 3.2470432453953273 1085.169929984613 570.5353078813455 1214.1092265524983 658.9560327971515 1.4998925364709235 2.1109863249074676 4.6 21.430461844326576 -3.210464472336616 -1.4963452197412688 0.043252024736028606 [1074, 569] [1179, 570] [1179, 645] [1074, 645] [1111, 574] [1242, 574] [1241, 668] [1111, 667]
1 36 2.961707188962054 722.5020780019314 573.1604389047417 848.3041766120448 658.0685233775362 1.4998925364709235 2.1109863249074676 4.6 21.939672031032018 3.595309931762779 -1.4894604960238786 0.01745661597526588 [741, 567] [844, 568] [844, 641] [740, 641] [692, 569] [819, 570] [819, 660] [691, 660]
1 37 3.123757748614158 904.3647158866962 560.9950467716903 1013.6855601821336 642.3651332886254 1.6831032635108842 2.1620488218201532 4.501494793433892 23.02459076544393 0.20971972902192904 -1.4657423437496127 0.008726646259971648 [909, 561] [1011, 561] [1010, 641] [908, 640] [898, 561] [1021, 562] [1021, 658] [897, 658]
1 38 3.216384074816626 1069.251322178333 566.6437844780344 1159.2406470532055 633.8111273295341 1.4998925364709235 2.1109863249074676 4.6 28.704505132771406 -3.266970060707476 -1.732753666777953 0.038534774316263544 [1052, 570] [1133, 570] [1133, 628] [1052, 628] [1074, 571] [1169, 571] [1169, 639] [1074, 639]
1 40 3.198523511072045 1038.2075737587138 556.8474567415095 1107.433290856523 618.9462153643659 1.7329342938239063 2.1109863249074676 4.507259303405364 34.5900258068046 -2.936785622500592 -1.7800293735973025 0.027768686597833492 [1030, 561] [1098, 562] [1097, 618] [1029, 617] [1043, 560] [1120, 561] [1120, 625] [1042, 624]
1 41 3.0027253835944756 777.2659102831768 555.1850082328244 865.4658111097228 619.7596077779357 1.7329342938239063 2.1109863249074676 4.507259303405364 29.89176757388789 3.6469431103475936 -1.4924091391687935 0.017462343066874806 [796, 554] [874, 555] [873, 619] [795, 618] [771, 552] [861, 553] [860, 627] [769, 626]
1 71 4.116612390830846 637.2715046755011 555.4332547163957 749.0562960778589 596.2518953099225 1.6450135866133913 2.1109863249074676 4.517912327861577 48.43501909497434 11.61165303630926 -1.980787944524629 -1.2103157703989276 [738, 557] [746, 557] [746, 597] [737, 596] [627, 556] [631, 556] [631, 598] [627, 596]
2 99 -0.2105043305606528 703.0433058431116 548.6746489047588 730.317957931346 610.9378444878179 1.8 0.8190117377790875 0.6220451915054483 31.732618974246623 6.829793464549036 -1.302298416680987 3.140101542193701 [728, 543] [697, 543] [697, 611] [728, 611] [733, 543] [703, 543] [702, 610] [733, 610]
5 49 2.434374619674761 33.295878726003984 494.33887838584025 48.4149642314928 537.4837032865329 0.9597799777984619 0.5490529046436379 0.19189898232168234 18.38984886929459 20.169648624989957 0.49416593188775315 -0.12430462632050131 [-324, 462] [-295, 462] [-295, 523] [-324, 523] [-339, 461] [-309, 461] [-309, 523] [-339, 523]
5 48 2.348321640249756 271.50141564223026 463.0461274101471 292.1538819216205 495.86659998204567 0.9899360088669367 0.6288062611569458 0.1836229825194231 29.29931824514689 19.839556977331515 1.6281485277571441 0.19805693752560494 [160, 440] [187, 441] [187, 480] [159, 480] [156, 440] [184, 440] [183, 480] [155, 479]
5 47 2.4472720947951916 286.14764182927706 511.08973216462294 322.7244946971768 539.8155653897115 0.9026808690531392 1.3426594845260937 0.2698402699334559 29.74130717567677 19.302598864001226 0.2957645219332106 0.11863704265829794 [179, 496] [235, 496] [235, 532] [179, 532] [173, 496] [230, 496] [230, 532] [173, 532]
5 46 2.3073296653660584 356.2921990992654 377.02564039214656 414.22337361047175 395.7332066539791 0.6187598505507854 1.890182614437348 0.20876732822102895 30.526552661753037 16.86123171351146 4.310855820941651 0.32962009744404047 [277, 347] [359, 349] [359, 373] [278, 371] [275, 345] [357, 348] [358, 372] [276, 370]
5 43 2.251859624972192 409.1277303417191 346.9845241706128 434.3972723586289 373.3291150268062 0.9222530157846588 1 0.20719611791778703 31.006508191781275 15.789767853863792 5.083854483937188 0.4187204241274384 [347, 314] [390, 317] [390, 352] [347, 349] [347, 313] [389, 315] [389, 351] [347, 348]
4 42 2.3840005567130467 443.69511035888513 340.0719105807544 462.25933265879644 385.2822728638226 1.2436151504516602 0.5953734390082626 0.4377982953156525 31.642870078531367 15.060339972810267 5.046762309618825 0.3133710965529756 [397, 315] [421, 316] [421, 363] [397, 362] [394, 312] [419, 314] [419, 360] [394, 359]
5 50 5.768760900690904 695.7645687862797 507.0694394901517 722.2669632486626 534.8598707468548 1.0178465303900945 0.9921865058772994 0.17 33.62669902871476 7.48902702745998 0.3658857537191664 -2.8463026735784696 [724, 497] [689, 497] [689, 533] [725, 533] [724, 497] [688, 497] [688, 533] [724, 533]
4 51 5.756641858384187 697.7517775947221 463.0647668913192 712.216631541348 499.24185131836987 0.9938309788703918 0.3930247517793141 0.2226678865604949 33.27648008272152 7.586945304841642 1.4496746983860453 -2.839214616715061 [708, 458] [693, 458] [693, 494] [708, 494] [707, 459] [693, 459] [693, 494] [707, 494]
